State,Year,Nitrogen (%),Nitrogen (Pounds/Acre),Phosphorous (%),Phosphorous (Pounds/Acre),Potash (%),Potash (Pounds/Acre),Area Planted (acres),Harvested Area (acres),Lint Yield (Pounds/Harvested Acre)
Alabama,1964,99,72,100,62,99,63,NA,NA,NA
Alabama,1965,100,81,100,63,100,66,NA,NA,NA
Alabama,1966,100,83,100,69,100,70,NA,NA,NA
Alabama,1967,100,78,100,71,100,73,NA,NA,NA
Alabama,1968,100,71,99,71,99,73,NA,NA,NA
Alabama,1969,100,80,98,70,98,71,NA,NA,NA
Alabama,1970,100,78,100,74,100,77,NA,NA,NA
Alabama,1971,99,84,100,71,99,73,NA,NA,NA
Alabama,1972,100,89,98,73,98,77,NA,NA,NA
Alabama,1973,99,82,95,77,97,83,385,370,405
Alabama,1974,100,100,99,76,99,75,440,420,399
Alabama,1975,100,74,92,57,98,66,405,395,337
Alabama,1976,98,72,93,71,98,80,325,315,443
Alabama,1977,99,74,91,72,97,85,310,305,510
Alabama,1978,100,66,95,64,95,69,325,321,411
Alabama,1979,100,70,84,63,84,68,377,372,545
Alabama,1980,100,73,93,63,93,70,287,285,775
Alabama,1981,99,73,97,57,91,68,219,215,409
Alabama,1982,100,101,93,65,93,72,309,307,699
Alabama,1983,100,79,86,62,89,72,330,329,795
Alabama,1984,98,78,91,60,88,70,315,313,506
Alabama,1985,98,88,88,62,80,73,335,333,572
Alabama,1986,99,82,87,57,77,62,390,375,486
Alabama,1987,NA,NA,NA,NA,NA,NA,328,322,571
Alabama,1988,NA,NA,NA,NA,NA,NA,380,378,476
Alabama,1989,NA,NA,NA,NA,NA,NA,410,405,655
Alabama,1990,NA,NA,NA,NA,NA,NA,415,408,731
Alabama,1991,NA,NA,NA,NA,NA,NA,443,430,524
Alabama,1992,NA,NA,NA,NA,NA,NA,463,455,766
Alabama,1993,NA,NA,NA,NA,NA,NA,590,578,409
Alabama,1994,NA,NA,NA,NA,NA,NA,520,516,734
Alabama,1995,NA,NA,NA,NA,NA,NA,535,442,597
Alabama,1996,NA,NA,NA,NA,NA,NA,495,475,559
Alabama,1997,100,89,93,54,95,79,565,561,535
Alabama,1998,99,78,94,59,94,76,590,530,492
Alabama,1999,97,84,94,69,95,84,610,605,730
Alabama,2000,100,103,95,63,91,87,590,540,507
Alabama,2001,NA,NA,NA,NA,NA,NA,525,510,772
Alabama,2002,NA,NA,NA,NA,NA,NA,550,540,724
Alabama,2003,97,102,84,70,83,77,550,545,747
Alabama,2004,NA,NA,NA,NA,NA,NA,575,560,579
Alabama,2005,NA,NA,NA,NA,NA,NA,400,385,519
Alabama,2006,NA,NA,NA,NA,NA,NA,290,286,787
Alabama,2007,97,88,87,49,90,65,255,248,662
Alabama,2008,NA,NA,NA,NA,NA,NA,340,338,682
Alabama,2009,NA,NA,NA,NA,NA,NA,460,443,742
Alabama,2010,NA,NA,NA,NA,NA,NA,380,378,946
Alabama,2011,NA,NA,NA,NA,NA,NA,365,359,789
Alabama,2012,NA,NA,NA,NA,NA,NA,350,348,901
Alabama,2013,NA,NA,NA,NA,NA,NA,315,307,866
Alabama,2014,NA,NA,NA,NA,NA,NA,345,343,988
Alabama,2015,99,91,78,53,79,95,435,430,902
Alabama,2016,NA,NA,NA,NA,NA,NA,510,497,858
Alabama,2017,93,104,72,62,81,83,540,535,969
Arizona,1964,94,130,50,66,2,NA,NA,NA,NA
Arizona,1965,92,131,42,78,2,8,NA,NA,NA
Arizona,1966,96,141,45,69,1,15,NA,NA,NA
Arizona,1967,89,141,47,62,1,40,NA,NA,NA
Arizona,1968,95,142,46,68,1,36,NA,NA,NA
Arizona,1969,97,145,39,70,2,12,NA,NA,NA
Arizona,1970,90,135,36,59,4,16,NA,NA,NA
Arizona,1971,91,123,46,62,3,41,NA,NA,NA
Arizona,1972,82,117,49,57,4,39,NA,NA,NA
Arizona,1973,88,120,53,66,2,34,269,268,1027
Arizona,1974,97,123,51,58,2,27,341,340,1178
Arizona,1975,82,117,34,49,2,22,517,515,997
Arizona,1976,88,155,47,62,1,16,540,538,953
Arizona,1977,92,148,58,59,1,37,580,575,1069
Arizona,1978,89,135,38,53,1,26,550,549,1184
Arizona,1979,93,142,46,61,3,55,600,599,1247
Arizona,1980,90,161,34,72,2,9,471,470,1118
Arizona,1981,92,159,36,67,2,7,291,284,1225
Arizona,1982,94,126,35,59,3,34,430,429,1227
Arizona,1983,90,113,45,43,11,14,360,359,1241
Arizona,1984,98,150,48,59,4,29,250,249,1301
Arizona,1985,95,157,51,55,9,6,290,289,1410
Arizona,1986,93,122,39,47,7,12,350,349,1190
Arizona,1987,95,159,39,70,NA,NA,240,239,1303
Arizona,1988,90,144,58,59,7,14,350,348,1119
Arizona,1989,95,178,51,64,3,NA,360,359,1201
Arizona,1990,94,155,47,68,8,NA,325,323,1077
Arizona,1991,99,170,62,66,18,10,316,315,1204
Arizona,1992,94,132,43,45,9,24,313,312,1203
Arizona,1993,98,149,44,68,10,5,365,364,1046
Arizona,1994,99,223,45,53,22,10,315,314,1189
Arizona,1995,95,194,34,65,NA,NA,325,324,1255
Arizona,1996,98,148,43,49,11,44,250,248,1177
Arizona,1997,99,130,29,55,4,46,270,269,1278
Arizona,1998,98,141,38,63,13,9,280,278,1366
Arizona,1999,99,149,22,84,15,18,295,290,1142
Arizona,2000,98,129,30,57,8,39,215,213,1381
Arizona,2001,NA,NA,NA,NA,NA,NA,215,213,1239
Arizona,2002,NA,NA,NA,NA,NA,NA,240,238,1458
Arizona,2003,93,178,35,63,11,33,230,229,1289
Arizona,2004,NA,NA,NA,NA,NA,NA,190,188,1420
Arizona,2005,NA,NA,NA,NA,NA,NA,170,168,1469
Arizona,2006,NA,NA,NA,NA,NA,NA,135,133,1462
Arizona,2007,NA,NA,NA,NA,NA,NA,145,144,1477
Arizona,2008,NA,NA,NA,NA,NA,NA,195,193,1517
Arizona,2009,NA,NA,NA,NA,NA,NA,250,248,1548
Arizona,2010,NA,NA,NA,NA,NA,NA,200,197,1474
Arizona,2011,NA,NA,NA,NA,NA,NA,160,159,1449
Arizona,2012,NA,NA,NA,NA,NA,NA,150,149,1579
Arizona,2013,NA,NA,NA,NA,NA,NA,89,88,1511
Arizona,2014,NA,NA,NA,NA,NA,NA,120,118,1525
Arizona,2015,98,120,50,43,15,9,160,159,1464
Arizona,2016,NA,NA,NA,NA,NA,NA,160,159,1319
Arizona,2017,NA,NA,NA,NA,NA,NA,160,159,1555
Arkansas,1964,97,68,59,39,65,48,NA,NA,NA
Arkansas,1965,99,72,72,46,73,51,NA,NA,NA
Arkansas,1966,97,70,77,44,76,51,NA,NA,NA
Arkansas,1967,98,68,79,41,79,47,NA,NA,NA
Arkansas,1968,99,63,66,45,61,55,NA,NA,NA
Arkansas,1969,96,65,68,46,68,54,NA,NA,NA
Arkansas,1970,95,67,60,43,63,53,NA,NA,NA
Arkansas,1971,98,63,64,40,65,50,NA,NA,NA
Arkansas,1972,99,62,72,44,70,54,NA,NA,NA
Arkansas,1973,97,69,70,45,69,50,700,680,485
Arkansas,1974,98,68,72,40,75,46,1125,950,392
Arkansas,1975,98,57,67,40,72,46,950,930,534
Arkansas,1976,97,65,74,41,77,55,810,760,417
Arkansas,1977,95,66,75,48,78,60,610,530,549
Arkansas,1978,93,64,62,42,74,50,700,645,330
Arkansas,1979,98,62,78,37,83,51,610,560,518
Arkansas,1980,98,59,76,39,85,53,410,390,657
Arkansas,1981,97,64,59,40,62,58,320,290,535
Arkansas,1982,97,67,68,36,72,48,470,465,632
Arkansas,1983,97,69,68,34,70,46,465,440,767
Arkansas,1984,97,75,80,38,82,53,490,480,602
Arkansas,1985,100,70,76,37,77,51,555,550,786
Arkansas,1986,99,84,68,39,81,65,695,675,742
Arkansas,1987,99,81,75,43,79,63,610,595,687
Arkansas,1988,99,79,71,44,75,58,770,750,692
Arkansas,1989,94,80,70,35,71,62,1000,980,772
Arkansas,1990,99,85,83,36,87,57,1000,980,823
Arkansas,1991,96,86,70,40,73,61,990,970,541
Arkansas,1992,98,88,64,44,74,66,980,970,877
Arkansas,1993,96,103,76,48,74,76,1170,1110,635
Arkansas,1994,93,110,70,44,81,73,1000,990,793
Arkansas,1995,97,101,74,45,85,75,980,965,837
Arkansas,1996,97,97,66,38,71,70,920,900,645
Arkansas,1997,92,77,83,54,91,67,970,960,714
Arkansas,1998,98,91,88,42,88,76,960,950,720
Arkansas,1999,97,93,82,40,85,77,1080,1065,826
Arkansas,2000,100,88,78,41,84,82,960,920,871
